,JobTitle,Require
91,"[HCM/Hybrid] Full-stack Architect (NodeJS, React)","NodeJS,Cloud,ReactJS"
92,"Senior Back-end Engineer (Golang, Java)","Golang,Java,English"
93,Senior Developer Leader,"C#,JavaScript,.NET"
94,Full-Stack Developer (ReactJS/VueJS/ASP.NET/PHP),"ReactJS,ASP.NET,PHP"
95,Senior Angular Dev (Training in Europe),"Angular,TypeScript,JavaScript"
96,Backend Developers (NodeJS/ NestJS),"NodeJS,AWS,English"
97,"Backend Developer (NodeJS, MySQL, AWS)","NodeJS,AWS,MySQL,Fresher Accepted"
98,"2 Technical Leader (Java, NodeJS)","Team Leader,Java,NodeJS"
99,"Senior Java Developer (Spring, MVC)","Java,MVC,Spring"
100,"05 Developers (NodeJS, ReactJS, JavaScript)","NodeJS,JavaScript,ReactJS"
101,".NET Backend Developer (C#, ASP.NET) Up to $1500",".NET,ASP.NET,C#"
102,"10 Middle/Senior .NET Engineers (C#, ASP.NET )",".NET,C#,ASP.NET"
103,"Fullstack Developer (PHP, VueJS, Laravel)","PHP,Laravel,VueJS"
104,Senior Golang Developer,"Golang,English"
105,"FULLSTACK DEV (Java, JavaScript)","HTML5,OOP,MySQL"
106,Fullstack Developer (.NET),".NET,ASP.NET,Database"
107,"Senior FullStack Developer (Java, ReactJS)","ReactJS,Angular,Java"
108,"Web Developer (ReactJS, VueJS, PHP)","JavaScript,PHP,ReactJS"
