,JobTitle,Require,Link,Year,Rank
374,DevOps Engineer (AWS),"DevOps,Docker,AWS,CI/CD,Kubernetes",https://topdev.vn/viec-lam/devops-engineer-aws-talent-success-2029695,3 năm,"Middle,Senior"
375,[Full remote/Web]Front-end Lead Software Engineer (Angular/ReactJS/VueJS),"Front-End,ReactJS,VueJS,Angular",https://topdev.vn/viec-lam/full-remote-web-front-end-lead-software-engineer-angular-reactjs-vuejs-reeracoen-vietnam-co-ltd-2029676,5 năm,Trưởng Nhóm
376,Full-Stack Developer (NodeJS/React/AWS),"NodeJS,Full-Stack,VueJS",https://topdev.vn/viec-lam/full-stack-developer-nodejs-react-aws-reeracoen-vietnam-co-ltd-2029675,2 năm,Middle
377,Software Engineering Intern,"JavaScript,Python,Restful Api",https://topdev.vn/viec-lam/software-engineering-intern-talent-success-2029706,Không yêu cầu,Intern
378,Backend Engineer (Fresh/Junior),"Python,Back-End",https://topdev.vn/viec-lam/backend-engineer-fresh-junior-talent-success-2029705,Không yêu cầu,"Fresher,Junior"
379,Product Engineering Manager,Product Manager,https://topdev.vn/viec-lam/product-engineering-manager-talent-success-2029704,3 năm,Trưởng phòng
380,UX/UI Designer,"UX/UI Design,Photoshop,Illustrator,Sketch,After Effect,Designer,Adobe XD",https://topdev.vn/viec-lam/ux-ui-designer-permate-global-2029701,2 năm,Middle
381,QA/QC (TESTER),"Tester,QA/QC",https://topdev.vn/viec-lam/qa-qc-tester-permate-global-2029699,2 năm,Middle
382,Technical Product Manager,"Project Manager,English",https://topdev.vn/viec-lam/technical-product-manager-talent-success-2029711,4 năm,Trưởng phòng
383,DevOps Engineer (Junior),"DevOps,AWS,SRE",https://topdev.vn/viec-lam/devops-engineer-junior-talent-success-2029710,1 năm,Junior
384,Test Lead,"REST API,Web Tester",https://topdev.vn/viec-lam/test-lead-talent-success-2029709,3 năm,Trưởng Nhóm
385,Test Engineer,"English,Mobile Tester,Web Tester",https://topdev.vn/viec-lam/test-engineer-talent-success-2029708,1 năm,"Fresher,Junior"
386,Backend Engineer (Middle/Senior),"MySQL,Python,Nginx,Back-End",https://topdev.vn/viec-lam/backend-engineer-middle-senior-talent-success-2029707,2 năm,"Middle,Senior"
387,Mobile Engineer (React Native),"Android,iOS,Mobile,React Native",https://topdev.vn/viec-lam/mobile-engineer-react-native-talent-success-2029716,1 năm,Junior
388,Frontend Engineer (Middle/Senior),"CSS,JavaScript,HTML,Front-End,ReactJS",https://topdev.vn/viec-lam/frontend-engineer-middle-senior-talent-success-2029715,2 năm,"Middle,Senior"
389,Frontend Engineer (Fresh/Junior),"JavaScript,Front-End",https://topdev.vn/viec-lam/frontend-engineer-fresh-junior-talent-success-2029714,Không yêu cầu,"Fresher,Junior"
390,DevOps Engineer (Senior),"DevOps,AWS,SRE",https://topdev.vn/viec-lam/devops-engineer-senior-talent-success-2029713,3 năm,Senior
391,UI Designer (Senior/Team Lead),"Photoshop,Illustrator,Sketch,UI Design",https://topdev.vn/viec-lam/ui-designer-senior-team-lead-talent-success-2029712,4 năm,"Trưởng Nhóm,Senior"
392,DevOps Engineer,"DevOps,CI/CD",https://topdev.vn/viec-lam/devops-engineer-laidon-group-2029826,1 năm,Junior
393,Lập trình viên (ReactJS/VueJS/Angular),"Front-End,ReactJS,VueJS,Angular",https://topdev.vn/viec-lam/lap-trinh-vien-reactjs-vuejs-angular-trung-tam-noi-soi-chan-doan-benh-ly-tieu-hoa-doctor-check-2029801,1 năm,Junior
394,Technical Leader (.NET) – Salary Up to $3500,"ASP.NET,C#,.NET,Docker,Technical Leader,AWS,Azure,.NET Core,Kubernetes",https://topdev.vn/viec-lam/technical-leader-net-salary-up-to-3500-fpt-software-2029796,8 năm,Trưởng Nhóm
395,UX Designer,"UX/UI Design,UX Design",https://topdev.vn/viec-lam/ux-designer-damda-co-ltd-2029781,3 năm,Senior
396,5 Lập Trình Viên Java Backend,"Java,Back-End",https://topdev.vn/viec-lam/5-lap-trinh-vien-java-backend-arch-viet-nam-2029898,2 năm,"Junior,Middle,Senior"
397,Technical Manager,"Agile,Project Manager,NoSQL,Technical Leader,Scrum",https://topdev.vn/viec-lam/technical-manager-sanbul-solutions-2029894,3 năm,"Trưởng Nhóm,Senior"
398,NHÂN VIÊN/ CHUYÊN VIÊN GIÁM SÁT AN NINH THÔNG TIN,"Oracle,Security Engineer,Cybersecurity",https://topdev.vn/viec-lam/nhan-vien-chuyen-vien-giam-sat-an-ninh-thong-tin-ngan-hang-tmcp-sai-gon-scb-2029828,3 năm,"Middle,Senior"
399,Assistant Bridge Project Manager (Assistant BPM),IT Communicator,https://topdev.vn/viec-lam/assistant-bridge-project-manager-assistant-bpm-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2029906,Tất cả kinh nghiệm,All Levels
400,Flutter Developer,Flutter,https://topdev.vn/viec-lam/flutter-developer-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2029904,1 năm,"Middle,Senior"
401,[Hanoi] Development Project Manager,"Project Leader,Problem Solving Skill,Software Developer,English - Good",https://topdev.vn/viec-lam/hanoi-development-project-manager-ntt-data-vietnam-2029910,5 năm,Trưởng phòng
402,[Hanoi] Test Leader,"English,Software,Problem Solving Skill,Automation Tester,Quality Analyst",https://topdev.vn/viec-lam/hanoi-test-leader-ntt-data-vietnam-2029907,3 năm,Trưởng Nhóm
403,Senior Frontend Developer (React/VueJS/Angular),"Front-End,ReactJS,VueJS,Angular",https://topdev.vn/viec-lam/senior-frontend-developer-react-vuejs-angular-nfq-2029913,4 năm,Senior
404,Senior PHP Developer,"PHP,CI/CD",https://topdev.vn/viec-lam/senior-php-developer-nfq-2029912,3 năm,Senior
405,Senior Project Manager,Project Manager,https://topdev.vn/viec-lam/senior-project-manager-nfq-2029911,5 năm,Senior
406,[Fresher/Junior/Middle] - SQA / Tester Engineer,"Automation Tester,SQA,Test Engineer,English Skills",https://topdev.vn/viec-lam/fresher-junior-middle-sqa-tester-engineer-total-software-bank-vietnam-tsb-vn-2029916,Không yêu cầu,Fresher
407,Back-end Leader,"NodeJS,Back-End,Docker,Technical Leader,AWS",https://topdev.vn/viec-lam/back-end-leader-persol-career-tech-studio-vietnam-2029999,2 năm,Trưởng Nhóm
408,"Unity Game Developer (iOS, Android, PC)","Unity,Unity3d,Game Developer,Unity2D",https://topdev.vn/viec-lam/unity-game-developer-ios-android-pc-cong-ty-tnhh-thankslab-viet-nam-2029925,3 năm,Senior
409,"Web Developer (PHP, Node.js)","PHP,HTML5,JavaScript,MySQL,NodeJS",https://topdev.vn/viec-lam/web-developer-php-node-js-cong-ty-tnhh-thankslab-viet-nam-2029921,2 năm,Nhân viên
410,Linux DevOps Engineer (Junior/ Middle/ Senior),"PHP,Linux,MySQL,CodeIgniter,DevOps,Web Developer",https://topdev.vn/viec-lam/linux-devops-engineer-junior-middle-senior-cong-ty-tnhh-thankslab-viet-nam-2029919,1 năm,"Junior,Middle,Senior"
411,"Front-end Developer (JavaScript, ReactJS/ Angular/ VueJS)","JavaScript,Front-End,ReactJS,VueJS,Angular",https://topdev.vn/viec-lam/front-end-developer-javascript-reactjs-angular-vuejs-pixelz-2030190,5 năm,Senior
412,UX/UI Designer,UX/UI Design,https://topdev.vn/viec-lam/ux-ui-designer-atech-2030194,2 năm,"Middle,Senior"
413,[Fulltime & Part-time] Unity Developer Intern,"Unity,Game",https://topdev.vn/viec-lam/fulltime-part-time-unity-developer-intern-rocket-game-studio-2029755,Không yêu cầu,"Fresher,Intern"
414,"Web Developer (PHP, VueJS, Wordpress)","PHP,JavaScript,WordPress,VueJS",https://topdev.vn/viec-lam/web-developer-php-vuejs-wordpress-suga-2029764,1 năm,Junior
415,Fresher/Junior Unity Game Developer,"Unity,Game,Game Mobile",https://topdev.vn/viec-lam/fresher-junior-unity-game-developer-imba-games-2029762,03 tháng,"Fresher,Junior,Senior"
416,Software Developer (ReactJS),"AWS,React JS,Java EE",https://topdev.vn/viec-lam/software-developer-reactjs-cube-system-vietnam-co-ltd-2029761,3 năm,Senior
417,[Middle-Senior] Android Developer,"Android,Java,Kotlin",https://topdev.vn/viec-lam/middle-senior-android-developer-apero-studio-game-2029766,2 năm,Middle
418,PHP Developer,"PHP,JavaScript,HTML & CSS",https://topdev.vn/viec-lam/php-developer-xuat-nhap-khau-viet-han-2029806,06 tháng,"Fresher,Junior"
419,Project Leader/ Technical Leader,"Project Manager,NodeJS,Project Leader,Technical Leader,VueJS",https://topdev.vn/viec-lam/project-leader-technical-leader-nec-vietnam-2029794,6 năm,"Trưởng phòng,Trưởng Nhóm"
420,Senior Software Programmer (Senior Java Developer),"CSS,Java,JavaScript,HTML,JavaEE",https://topdev.vn/viec-lam/senior-software-programmer-senior-java-developer-ntt-data-vietnam-2029793,2 năm,"Middle,Senior"
421,Product Owner,Product Owner,https://topdev.vn/viec-lam/product-owner-cong-ty-tnhh-codelink-2029816,4 năm,Senior
422,Project Manager,"Agile,Project Manager",https://topdev.vn/viec-lam/project-manager-mobicast-2029815,3 năm,Senior
423,HO - Khối CNTT - Chuyên viên Phát triển Ứng dụng Thẻ,"Oracle,Java",https://topdev.vn/viec-lam/ho-khoi-cntt-chuyen-vien-phat-trien-ung-dung-the-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2029881,1 năm,Junior
424,"Chuyên Viên Tích hợp Dữ Liệu (SQL, NoSQL, ETL)","Java,SQL,NoSQL,ETL,Kafka",https://topdev.vn/viec-lam/chuyen-vien-tich-hop-du-lieu-sql-nosql-etl-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2029878,1 năm,Junior
425,Backend Developer (NodeJS),"NodeJS,MongoDB,Back-End,NextJS,GraphQL",https://topdev.vn/viec-lam/backend-developer-nodejs-green-agri-2029899,1 năm,"Junior,Middle"
426,HO - Phòng Nghiên cứu Giải pháp Công nghệ - Chuyên viên Phân tích Nghiệp vụ (Business Analyst),"Product,Business Analyst",https://topdev.vn/viec-lam/ho-phong-nghien-cuu-giai-phap-cong-nghe-chuyen-vien-phan-tich-nghiep-vu-business-analyst-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2029887,2 năm,"Junior,Middle,Senior"
427,Agile Coach - Scrum Master,"Agile & Scrum,Scrum Master",https://topdev.vn/viec-lam/agile-coach-scrum-master-woowa-brothers-2030007,3 năm,Senior
428,"[Middle level] Full-stack Developer (.NET, Angular) | Up to $1500","C#,.NET,Full-Stack,Angular,.NET Core",https://topdev.vn/viec-lam/middle-level-full-stack-developer-net-angular-up-to-1500-atman-vina-2029905,2 năm,Middle
429,"Android Developer (Android SDK, Java/Kotlin)","Android,Java,Kotlin",https://topdev.vn/viec-lam/android-developer-android-sdk-java-kotlin-sysvpn-2029903,1 năm,"Junior,Middle"
430,DevOps (AWS/Docker/Kubernetes),"DevOps,Docker,AWS,Kubernetes",https://topdev.vn/viec-lam/devops-aws-docker-kubernetes-green-agri-2029900,1 năm,"Junior,Middle"
431,Back-end Engineer (Python/Scala),"Python,Back-End,Scala,Software Developer",https://topdev.vn/viec-lam/back-end-engineer-python-scala-parcel-perform-2030065,2 năm,Middle
432,Data Engineer,"MySQL,Python,Data Engineer",https://topdev.vn/viec-lam/data-engineer-parcel-perform-2030064,5 năm,Senior
433,Mid/Senior Security Compliance Specialist,"Cybersecurity,System Security",https://topdev.vn/viec-lam/mid-senior-security-compliance-specialist-woowa-brothers-2030009,3 năm,Senior
434,Senior Product Manager,"Product Manager,Product Owner",https://topdev.vn/viec-lam/senior-product-manager-woowa-brothers-2030008,5 năm,Trưởng phòng
435,Service Desk Analyst/Engineer ~ Up to $1500,"IT Helpdesk,Server,IT Infrastructure,DNS",https://topdev.vn/viec-lam/service-desk-analyst-engineer-up-to-1500-code88-2030080,3 năm,Senior
436,Software QA Automation Engineer ~ Up to $2000,"QA,Automation Tester",https://topdev.vn/viec-lam/software-qa-automation-engineer-up-to-2000-code88-2030079,2 năm,Middle
437,"Android Developer (Java, Kotlin)","Android,Java,Kotlin",https://topdev.vn/viec-lam/android-developer-java-kotlin-vpdd-mobile-health-2030078,2 năm,Middle
438,Manual QA Engineer,"QA,Manual",https://topdev.vn/viec-lam/manual-qa-engineer-parcel-perform-2030066,2 năm,"Middle,Senior"
439,Quality Assurance,"SQL,QA",https://topdev.vn/viec-lam/quality-assurance-mcredit-2030086,2 năm,Middle
440,IOS Developer,"Swift,iOS,Objective-C,xCode,UIkit",https://topdev.vn/viec-lam/ios-developer-mcredit-2030083,2 năm,Middle
441,[ENG] [PROJECT MANAGER],Project Manager,https://topdev.vn/viec-lam/eng-project-manager-cong-ty-co-phan-cong-nghe-fractal-2030082,06 tháng,Junior
442,Java Web Developer (Java Core/Spring/ReactJS) ~ Up to $3000,"Java,ReactJS,Spring,Core Java 8",https://topdev.vn/viec-lam/java-web-developer-java-core-spring-reactjs-up-to-3000-code88-2030081,1 năm,"Junior,Middle"
443,Senior Business Analyst (English) ~ Up to $3000,"English,Business Analyst",https://topdev.vn/viec-lam/senior-business-analyst-english-up-to-3000-fpt-software-2030092,3 năm,Senior
444,2D Digital Drawing Artist Up To ~$1200 (Game Designer),"2D Artist,Unity2D",https://topdev.vn/viec-lam/2d-digital-drawing-artist-up-to-1200-game-designer-nexcel-solutions-2030091,2 năm,Middle
445,Android Developer,"Android,Java,Mobile,Kotlin",https://topdev.vn/viec-lam/android-developer-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2030089,3 năm,Senior
446,Junior/Senior 3D Game Modelers,"Game,Photoshop,3D Artist,3D Max,3D Modelling",https://topdev.vn/viec-lam/junior-senior-3d-game-modelers-cong-ty-tnhh-thankslab-viet-nam-2030095,1 năm,"Junior,Senior"
447,Bridge Software Engineer (BrSE),"Japanese - N2,BrSE,Bridge SE",https://topdev.vn/viec-lam/bridge-software-engineer-brse-cong-ty-tnhh-thankslab-viet-nam-2030094,2 năm,"Junior,Middle"
448,.NET Developer,".NET,AWS,Azure",https://topdev.vn/viec-lam/net-developer-cong-ty-tnhh-saritasa-viet-nam-2030093,3 năm,Middle
449,(Senior) Cloud/ DevOps Engineer,"DevOps,AWS,Cloud,CI/CD,Site Reliability,Terraform",https://topdev.vn/viec-lam/senior-cloud-devops-engineer-cloud-kinetics-2029778,5 năm,Senior
450,Senior Java Developer (up to $2500),"J2EE,Java,MySQL,JPA,Java Spring Boot",https://topdev.vn/viec-lam/senior-java-developer-up-to-2500-pinetree-2029773,4 năm,"Middle,Senior"
451,Data Engineer,"SQL,Python,API,ETL,Kafka",https://topdev.vn/viec-lam/data-engineer-yes4all-trading-services-company-limited-2029807,1 năm,"Middle,Senior"
452,[All Levels] LẬP TRÌNH VIÊN NODEJS,"JavaScript,NodeJS",https://topdev.vn/viec-lam/all-levels-lap-trinh-vien-nodejs-firefly-innovative-izihelp-2029897,Tất cả kinh nghiệm,All Levels
454,Blockchain Developers,"JavaScript,Python,NodeJS,REST API,Full-Stack,ReactJS,Blockchain,TypeScript",https://topdev.vn/viec-lam/blockchain-developers-infinium-research-2029680,3 năm,Senior
455,PHP Developer,"JavaScript,MySQL,WordPress,Laravel,HTML & CSS",https://topdev.vn/viec-lam/php-developer-quape-2029679,3 năm,Senior
456,[HCM] Senior Golang Engineer,"MySQL,Golang,Back-End,PostgreSql",https://topdev.vn/viec-lam/hcm-senior-golang-engineer-talent-success-2029690,5 năm,Senior
457,[Senior/Leader] Visual/Graphic/UX/UI Designer,"Illustrator,Sketch,UX Design,Graphic Design,UI Design,Visual Designer",https://topdev.vn/viec-lam/senior-leader-visual-graphic-ux-ui-designer-fpt-information-system-2029734,3 năm,"Trưởng Nhóm,Senior"
458,IT System,"Linux,English,Vmware,IT System,Chinese",https://topdev.vn/viec-lam/it-system-cathay-life-2029694,06 tháng,Junior
459,Application Monitoring Engineer (Data Analysis),"System Admin,Technical Support,Data Analyst",https://topdev.vn/viec-lam/application-monitoring-engineer-data-analysis-ekino-vietnam-2029693,2 năm,"Middle,Senior"
460,Mobile Developer (Android),"Android,Mobile,Back-End",https://topdev.vn/viec-lam/mobile-developer-android-ryon-2029691,1 năm,Junior
461,[Fresher] Lập trình viên C/C++ up to $1000,"Linux,OOP,MySQL,SQL Server,C/C++",https://topdev.vn/viec-lam/fresher-lap-trinh-vien-c-c-up-to-1000-bkav-2029771,Không yêu cầu,"Fresher,Junior"
462,"Specialist/ Supervisor, Java Software Engineer","Java,JavaScript,REST API,Back-End,Java Spring",https://topdev.vn/viec-lam/specialist-supervisor-java-software-engineer-chubb-life-vietnam-2029768,2 năm,"Trưởng Nhóm,Junior,Middle,Senior"
463,Professional Software Tester,"English,Manual Test,Manual Tester",https://topdev.vn/viec-lam/professional-software-tester-adnovum-2029767,Tất cả kinh nghiệm,Middle
464,PHP Developer,"PHP,Laravel,VueJS",https://topdev.vn/viec-lam/php-developer-syno-international-vietnam-2029740,1 năm,Junior
465,Thực tập sinh Salesforce,Salesforce,https://topdev.vn/viec-lam/thuc-tap-sinh-salesforce-ngs-digital-2030032,06 tháng,"Intern,Junior"
466,Middle Backend Developer (NodeJS/NestJS),"NodeJS,REST API,Back-End,NestJS",https://topdev.vn/viec-lam/middle-backend-developer-nodejs-nestjs-sstech-company-2029671,2 năm,"Middle,Senior"
467,Trưởng Nhóm Quản Trị Hệ Thống (System Admin),"Linux,System Admin,Web Service,TCP/IP,CCNA",https://topdev.vn/viec-lam/truong-nhom-quan-tri-he-thong-system-admin-cong-ty-co-phan-cong-nghe-so-thien-quang-2029621,3 năm,"Trưởng phòng,Trưởng Nhóm,Senior"
468,Cloud DevOps Engineer (Azure),"DevOps,Azure,CI/CD,Kubernetes",https://topdev.vn/viec-lam/cloud-devops-engineer-azure-netcompany-2029730,1 năm,"Junior,Middle,Senior"
469,Senior QA QC / Tester (Manual & Automation),"JavaScript,QA,QC,Tester,Automation Tester,Manual Tester",https://topdev.vn/viec-lam/senior-qa-qc-tester-manual-automation-dikshatek-2029729,5 năm,Senior
470,Front-end Developer (ReactJS/ JavaScript / TypeScript) (Senior/Lead),"JavaScript,Front-End,ReactJS,TypeScript",https://topdev.vn/viec-lam/front-end-developer-reactjs-javascript-typescript-senior-lead-dikshatek-2029727,3 năm,"Trưởng Nhóm,Senior"
471,PHP Developer,"PHP,Laravel,FuelPHP",https://topdev.vn/viec-lam/php-developer-dac-data-technology-vietnam-danang-office-2029722,3 năm,Senior
472,Senior Software Engineer,"NodeJS,ReactJS,Software Developer,TypeScript,NestJS",https://topdev.vn/viec-lam/senior-software-engineer-xtracta-2029804,5 năm,Senior
473,.Net Developer (Middle/Senior),"JavaScript,C#,HTML & CSS,ASP.NET MVC,.NET Core",https://topdev.vn/viec-lam/net-developer-middle-senior-f88-business-jsc-2029803,2 năm,"Middle,Senior"
474,"NHÂN VIÊN LẬP TRÌNH (C#, .NET, SQL)","C#,SQL,.NET,Software Developer",https://topdev.vn/viec-lam/nhan-vien-lap-trinh-c-net-sql-linkq-2029732,1 năm,Junior
475,Network and System Engineer,System Engineer,https://topdev.vn/viec-lam/network-and-system-engineer-dikshatek-2029731,1 năm,Junior
476,Frontend Developer for Generative AI Product (chat GPT like) - Remote/Hanoi/Saigon - [FT],"CSS,Python,NodeJS,HTML,Golang,AI,React,NextJS",https://topdev.vn/viec-lam/frontend-developer-for-generative-ai-product-chat-gpt-like-remote-hanoi-saigon-ft-cnext-2029847,3 năm,"Middle,Senior"
477,Intermediate Front-end Software Developer (Angular),"Front-End,Angular",https://topdev.vn/viec-lam/intermediate-front-end-software-developer-angular-favie-tech-2030024,2 năm,Middle
478,Senior Java Developer,Java,https://topdev.vn/viec-lam/senior-java-developer-cong-ty-tnhh-persol-process-technology-viet-nam-2029889,3 năm,Senior
479,Business Analyst,Business Analyst,https://topdev.vn/viec-lam/business-analyst-south-telecom-2029797,2 năm,Middle
480,Magento Developer,"PHP,Magento",https://topdev.vn/viec-lam/magento-developer-cb-i-digital-2029795,2 năm,"Trưởng Nhóm,Junior,Senior"
481,"Web Developer (.NET, PHP, Java)","PHP,Java,.NET",https://topdev.vn/viec-lam/web-developer-net-php-java-viettel-idc-2029892,Tất cả kinh nghiệm,All Levels
482,Junior NodeJS/ ReactJS Developer,"MySQL,NodeJS,ReactJS",https://topdev.vn/viec-lam/junior-nodejs-reactjs-developer-cong-ty-co-phan-cong-nghe-giao-duc-thanh-phat-2029890,1 năm,"Junior,Middle"
483,DevOps Engineer (All Levels),"Java,Python,DevOps",https://topdev.vn/viec-lam/devops-engineer-all-levels-topdev-s-client-2030172,Không yêu cầu,Fresher
484,[Junior / Senior] Product Executive,"UX/UI Design,Product Manager,Business Analyst",https://topdev.vn/viec-lam/junior-senior-product-executive-topdev-s-client-2030170,1 năm,"Junior,Middle,Senior"
485,Chuyên viên thiết kế và quản lý UI/UX (All Levels),"UX/UI Design,Product Owner",https://topdev.vn/viec-lam/chuyen-vien-thiet-ke-va-quan-ly-ui-ux-all-levels-topdev-s-client-2030167,Không yêu cầu,Fresher
486,Back-end Developer (Python/ PHP/ NodeJS/ Java),"PHP,OOP,Java,SQL,Python,NodeJS,Back-End",https://topdev.vn/viec-lam/back-end-developer-python-php-nodejs-java-permate-global-2029700,2 năm,Middle
487,WordPress Developer (All Levels),"PHP,JavaScript,WordPress",https://topdev.vn/viec-lam/wordpress-developer-all-levels-topdev-s-client-2030164,1 năm,Junior
488,Business Analyst (Jr/Sr),Business Analyst,https://topdev.vn/viec-lam/business-analyst-jr-sr-permate-global-2029698,3 năm,"Junior,Senior"
489,"Front-End Developer (JavaScript, ReactJS)","JavaScript,Front-End,ReactJS",https://topdev.vn/viec-lam/front-end-developer-javascript-reactjs-dudaji-2029780,1 năm,"Junior,Middle"
490,[Middle/Senior] Ruby Developer ~ $2000 - $3000,Ruby on Rails,https://topdev.vn/viec-lam/middle-senior-ruby-developer-2000-3000-cong-ty-co-phan-weploy-vietnam-2029775,3 năm,"Middle,Senior"
491,"PHP Developer (Laravel, CakePHP, EC Cube)","PHP,CakePHP,Laravel,Symfony,Back-End,CRM",https://topdev.vn/viec-lam/php-developer-laravel-cakephp-ec-cube-anyses-2029640,3 năm,Middle
492,UI/UX Designer,"UX/UI Design,Photoshop,Illustrator,Sketch",https://topdev.vn/viec-lam/ui-ux-designer-apollo-solutions-2029614,3 năm,"Middle,Senior"
493,"WebGL/VueJS Frontend Developer (VueJS, NuxtJS, Frontend, TypeScript)","Front-End,VueJS,TypeScript,NuxtJS",https://topdev.vn/viec-lam/webgl-vuejs-frontend-developer-vuejs-nuxtjs-frontend-typescript-ycomm-viet-nam-2029790,2 năm,"Trưởng Nhóm,Middle,Senior"
494,Network Engineer,"Cisco,CCNA,Network,LAN,CCNP",https://topdev.vn/viec-lam/network-engineer-netcompany-2029788,1 năm,"Junior,Middle"
495,Backend Developer (Node.js & Elixir),"NodeJS,Back-End,Elixir - Rails",https://topdev.vn/viec-lam/backend-developer-node-js-elixir-littlelives-2029784,2 năm,Middle
496,Senior QC Engineer,"QA/QC,Performance Testing,Manual Test",https://topdev.vn/viec-lam/senior-qc-engineer-younet-group-2029782,4 năm,Senior
497,Chuyên viên Kiểm thử phần mềm (Tester),"Tester,Automation Tester,Manual Tester",https://topdev.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester-bidv-securities-company-bsc-2029817,Tất cả kinh nghiệm,All Levels
498,Free Java Training 3 Months and Paid Intern 3 Months For Korean IT Companies,Java,https://topdev.vn/viec-lam/free-java-training-3-months-and-paid-intern-3-months-for-korean-it-companies-national-it-industry-promotion-agency-nipa-hcm-2029814,Không yêu cầu,"Fresher,Intern"
499,Senior .NET Developer,"MVC,.NET,.NET Core,Entity Framework",https://topdev.vn/viec-lam/senior-net-developer-tma-tech-group-2029812,5 năm,Senior
500,IT Technician,"IT Helpdesk,IT Support",https://topdev.vn/viec-lam/it-technician-abhorizon-2029821,1 năm,Junior
501,Cloud System Manager,"Docker,Ansible,Kubernetes,Terraform",https://topdev.vn/viec-lam/cloud-system-manager-cb-i-digital-2029886,2 năm,Trưởng Nhóm
502,Software Architect,"Cloud,Ansible,System",https://topdev.vn/viec-lam/software-architect-cb-i-digital-2029888,2 năm,Trưởng Nhóm
503,"Front-end Developer (HTML, CSS, Javascript)","CSS,JavaScript,HTML,Front-End",https://topdev.vn/viec-lam/front-end-developer-html-css-javascript-chi-thanh-technology-2029641,06 tháng,"Fresher,Junior"
504,Project Manager,"Project Manager,English,Software,Problem Solving Skill,Agile & Scrum",https://topdev.vn/viec-lam/project-manager-manifera-software-development-2029822,3 năm,"Trưởng Nhóm,Senior"
505,FRONTEND ENGINEER - All Levels,"CSS,JavaScript,Front-End,VueJS",https://topdev.vn/viec-lam/frontend-engineer-all-levels-topdev-s-client-2026973,1 năm,Junior
506,[Fresher] Lập trình viên Mobile Flutter/iOS/Android,"Swift,Android,iOS,Java,Mobile,Kotlin,Flutter,Dart",https://topdev.vn/viec-lam/fresher-lap-trinh-vien-mobile-flutter-ios-android-bkav-2029749,Không yêu cầu,Fresher
507,"[Junior/Senior] Lập trình viên Mobile Flutter/iOS/Android up to 30,000,000","Swift,Android,iOS,Java,Mobile,Kotlin,Flutter,Dart",https://topdev.vn/viec-lam/junior-senior-lap-trinh-vien-mobile-flutter-ios-android-up-to-30-000-000-bkav-2029748,06 tháng,"Junior,Senior"
508,Machine Learning with Computer Vision Developer (Python and C++),"C++,Python,Machine Learning,Tensorflow,PyTorch",https://topdev.vn/viec-lam/machine-learning-with-computer-vision-developer-python-and-c-ycomm-viet-nam-2029746,2 năm,Middle
509,IT Business Analyst,"UML,UI/UX,Business Analyst",https://topdev.vn/viec-lam/it-business-analyst-ycomm-viet-nam-2029745,2 năm,Middle
510,Security Engineer (Middle/Senior),"Vmware,OWASP,Ceh-V5,Security Engineer",https://topdev.vn/viec-lam/security-engineer-middle-senior-globaltech-2029779,2 năm,"Middle,Senior"
511,[Junior] System Admin (Linux),"Linux,System Admin,Web Service",https://topdev.vn/viec-lam/junior-system-admin-linux-cong-ty-co-phan-giai-phap-va-cong-nghe-vietnix-2029777,1 năm,Junior
512,.NET Developer (Junior/Fresher level),"ASP.NET,C#,.NET,Back-End,.NET Core",https://topdev.vn/viec-lam/net-developer-junior-fresher-level-5-nhat-nhat-2029776,Không yêu cầu,"Fresher,Junior"
513,.Net Developer,".NET,SQL Server,ASP.NET MVC,.NET Core",https://topdev.vn/viec-lam/net-developer-cong-ty-tnhh-9pmp-viet-nam-2029774,1 năm,Junior
514,DevOps Engineer,"DevOps,AWS,Cloud",https://topdev.vn/viec-lam/devops-engineer-cong-ty-cp-cong-nghe-giao-duc-truong-hoc-truc-tuyen-onschool-2029750,2 năm,Middle
515,Middle/Senior QC / Tester (Manual & Automation),"QC,Tester,Automation Tester,Manual Tester",https://topdev.vn/viec-lam/middle-senior-qc-tester-manual-automation-openlive-nft-2029851,2 năm,"Middle,Senior"
516,C++ Developer (Mid/Senior),"C++,JavaScript,Python,English - Good",https://topdev.vn/viec-lam/c-developer-mid-senior-laudert-vietnam-2029850,3 năm,"Middle,Senior"
517,"Mobile Developer (React Native, iOS, Android)","Android,iOS,Mobile,React Native,Flutter",https://topdev.vn/viec-lam/mobile-developer-react-native-ios-android-future-lang-2029785,2 năm,"Middle,Senior"
518,Chuyên viên tư vấn giải pháp CNTT,"Business Analyst,Technical Consultant,Operator",https://topdev.vn/viec-lam/chuyen-vien-tu-van-giai-phap-cntt-datastreams-asia-2029783,5 năm,Senior
519,Lập trình C++,"Socket.io,C/C++,API,QT Framework,MFC",https://topdev.vn/viec-lam/lap-trinh-c-cong-ty-tnhh-chau-a-mem-2029895,1 năm,Middle
