,JobTitle,Require,Link,Year,Rank
32,Middle/Senior Software Frontend (React),"JavaScript,HTML & CSS,CI/CD,NextJS,React/Typescript",https://topdev.vn/viec-lam/middle-senior-software-frontend-react-globaltech-2030063,2 năm,"Middle,Senior"
33,"Software Backend - NodeJS, Golang (Middle/Senior)","NodeJS,Golang,Back-End,API,gRPC",https://topdev.vn/viec-lam/software-backend-nodejs-golang-middle-senior-globaltech-2030062,3 năm,"Middle,Senior"
34,DESIGN TEAM LEADER (UX/UI & Graphic),"UX/UI Design,Graphic Design,Product,Web Design",https://topdev.vn/viec-lam/design-team-leader-ux-ui-graphic-applancer-jsc-topdev-2030071,4 năm,Trưởng Nhóm
35,Bridge Software Engineer onsite Japan,"Java,Project Manager,Python,.NET,BrSE,C/C++",https://topdev.vn/viec-lam/bridge-software-engineer-onsite-japan-fpt-software-2030070,2 năm,"Middle,Senior"
36,UX/UI Designer,"UX/UI Design,Web Design",https://topdev.vn/viec-lam/ux-ui-designer-applancer-jsc-topdev-2030069,1 năm,"Junior,All Levels"
37,LẬP TRÌNH VIÊN .NET,"ASP.NET,C#,.NET",https://topdev.vn/viec-lam/lap-trinh-vien-net-fpt-information-system-2030076,1 năm,"Junior,Middle,Senior"
38,Senior Database,"MongoDB,SQL Server,Database,PostgreSql",https://topdev.vn/viec-lam/senior-database-t-c-logistics-2030074,5 năm,Senior
39,Product Executive (Fresher Accepted),"Product Manager,Business Analyst",https://topdev.vn/viec-lam/product-executive-fresher-accepted-applancer-jsc-topdev-2030072,06 tháng,"Fresher,Junior,All Levels"
40,Chuyên viên Phát triển ứng dụng Open Banking,"Oracle,Java,Java Spring Boot",https://topdev.vn/viec-lam/chuyen-vien-phat-trien-ung-dung-open-banking-ngan-hang-tmcp-sai-gon-scb-2030234,1 năm,"Middle,Senior"
41,SENIOR GAME DEVELOPER (UNITY),"Unity,C#,Unity3d",https://topdev.vn/viec-lam/senior-game-developer-unity-cong-ty-tnhh-hopper-viet-nam-2030231,3 năm,"Junior,Senior"
42,Senior Product Owner,"Product Owner,Scrum Master",https://topdev.vn/viec-lam/senior-product-owner-techcombank-2030223,6 năm,Senior
43,Senior Data Engineer,"Java,Python,Scala,Data Engineer",https://topdev.vn/viec-lam/senior-data-engineer-techcombank-2030222,6 năm,Senior
44,"Technical Team Leader (PHP, Javascript)","PHP,JavaScript,Laravel,CodeIgniter,Technical Leader",https://topdev.vn/viec-lam/technical-team-leader-php-javascript-applancer-jsc-topdev-2030118,5 năm,Trưởng Nhóm
45,Chuyên viên Ban Nghiên cứu Công nghệ Số (AI/ Big Data/ Công Nghệ),"Big Data,Blockchain,AI",https://topdev.vn/viec-lam/chuyen-vien-ban-nghien-cuu-cong-nghe-so-ai-big-data-cong-nghe-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2030116,2 năm,"Junior,Middle,Senior"
46,QC Engineer ( Manual + Automation),"Manual Test,Selenium,Jmeter,Appium,Automation QC",https://topdev.vn/viec-lam/qc-engineer-manual-automation-s3-corporation-s3corp-2029682,3 năm,"Middle,Senior"
47,[Junior-Senior] Software Developer (Java),"Java,Spring,English - Good,C Language",https://topdev.vn/viec-lam/junior-senior-software-developer-java-laudert-vietnam-2029681,2 năm,"Junior,Middle,Senior"
48,[HCM] Senior QA/QC,"Agile,QA/QC",https://topdev.vn/viec-lam/hcm-senior-qa-qc-talent-success-2029688,4 năm,Senior
49,[Hanoi] Senior QA/QC,"Scrum,QA/QC,API,Automation QA,Selenium",https://topdev.vn/viec-lam/hanoi-senior-qa-qc-talent-success-2029687,6 năm,Senior
50,Senior Front-end Engineer (ReactJS),"ReactJS,HTML & CSS,TypeScript,CI/CD",https://topdev.vn/viec-lam/senior-front-end-engineer-reactjs-talent-success-2029686,4 năm,"Middle,Senior"
51,[Hanoi] Technical Architect - Up to $5500,"Golang,Web,Docker,Technical Leader,CI/CD",https://topdev.vn/viec-lam/hanoi-technical-architect-up-to-5500-talent-success-2029684,Trên 10 năm,Senior
52,Senior .NET Engineer (Windows Application),"C#,.NET,Winform",https://topdev.vn/viec-lam/senior-net-engineer-windows-application-koidra-tech-2029683,3 năm,Senior
53,Business Analyst,"CRM (sap,Business Analyst,PL/SQL",https://topdev.vn/viec-lam/business-analyst-cong-ty-co-phan-gumac-2029770,1 năm,Junior
54,[Leader] PHP Developers (Laravel),"PHP,Manager,Laravel,System Architect",https://topdev.vn/viec-lam/leader-php-developers-laravel-rivercrane-vietnam-2029757,4 năm,Trưởng Nhóm
55,"CHUYÊN VIÊN VẬN HÀNH ỨNG DỤNG CNTT (SQLServer, Oracle, MySQL)","Oracle,MySQL,SQL Server",https://topdev.vn/viec-lam/chuyen-vien-van-hanh-ung-dung-cntt-sqlserver-oracle-mysql-cong-ty-tnhh-chung-khoan-acb-acbs-2029737,2 năm,"Middle,Senior"
56,Development Project Manager,"Project Manager,English - Good,Business Analyst",https://topdev.vn/viec-lam/development-project-manager-ntt-data-vietnam-2029735,5 năm,Trưởng phòng
57,[HCM] Ruby On Rails Engineer,"Ruby on Rails,MySQL,PostgreSql",https://topdev.vn/viec-lam/hcm-ruby-on-rails-engineer-talent-success-2029689,3 năm,"Middle,Senior"
58,"Android Developer (Android SDK, Java/Kotlin)","Android,Java,Kotlin",https://topdev.vn/viec-lam/android-developer-android-sdk-java-kotlin-sysvpn-2029839,1 năm,"Junior,Middle"
59,Project Manager (Up to 3000$),"Agile,Project Manager,Problem Solving Skill,PMP",https://topdev.vn/viec-lam/project-manager-up-to-3000-cq-tdt-asia-jsc-2029837,8 năm,Trưởng phòng
60,[Junior/Middle/Senior] PHP Developer (Fulltime),"PHP,OOP,Yii,WordPress,Laravel",https://topdev.vn/viec-lam/junior-middle-senior-php-developer-fulltime-vtvlive-2029836,1 năm,"Junior,Middle,Senior"
61,Backend Developer (.Net),"Oracle,C#,.NET,Back-End,PL/SQL",https://topdev.vn/viec-lam/backend-developer-net-rpsoft-2029800,Không yêu cầu,"Fresher,Junior,Middle"
62,Junior/Exp. Tester (QA/QC),"Tester,QA/QC",https://topdev.vn/viec-lam/junior-exp-tester-qa-qc-ekino-vietnam-2029772,06 tháng,"Fresher,Junior,Middle"
63,"Senior Back-end Engineer (Golang, NodeJS, Java)","Java,Golang,Back-End,Technical Architect,System Architect",https://topdev.vn/viec-lam/senior-back-end-engineer-golang-nodejs-java-ninja-van-tech-lab-vn-2029864,4 năm,"Trưởng Nhóm,Senior"
64,Senior Data Engineer - Vinhomes,"SQL,NoSQL,Big Data,Spark,Hadoop,Kafka",https://topdev.vn/viec-lam/senior-data-engineer-vinhomes-vinhomes-2029863,3 năm,Senior
65,IoT Engineer,"Python,DevOps,Matlab",https://topdev.vn/viec-lam/iot-engineer-imt-solutions-2029848,3 năm,"Middle,Senior"
66,Business Intelligence Analyst Developer,"Business Intelligence,Data Engineer,Data Analyst",https://topdev.vn/viec-lam/business-intelligence-analyst-developer-xpon-technologies-group-asx-xpn-2029844,3 năm,"Middle,Senior"
67,Production Monitor Engineer,"Product,Product Planning",https://topdev.vn/viec-lam/production-monitor-engineer-truecommerce-dicentral-2029967,1 năm,"Fresher,Junior"
68,Kỹ Sư IT Hệ Thống,System Engineer,https://topdev.vn/viec-lam/ky-su-it-he-thong-lg-cns-2029958,06 tháng,"Fresher,Junior"
69,Front-End Engineer,"CSS,JavaScript,JQuery,HTML,Front-End",https://topdev.vn/viec-lam/front-end-engineer-lg-cns-2029957,1 năm,"Junior,Middle,Senior"
70,Java Engineer,"Java,Back-End,Spring Boot",https://topdev.vn/viec-lam/java-engineer-lg-cns-2029956,1 năm,"Junior,Middle,Senior"
71,QA Engineer (Automation),"QA,Automation QA",https://topdev.vn/viec-lam/qa-engineer-automation-leapxpert-2029868,3 năm,"Middle,Senior"
72,Kỹ sư cầu nối (BrSE),"Japanese - N2,BrSE",https://topdev.vn/viec-lam/ky-su-cau-noi-brse-brycen-vietnam-2029994,2 năm,Middle
73,Java/C# Developer Leader,"Java,C#",https://topdev.vn/viec-lam/java-c-developer-leader-brycen-vietnam-2029993,5 năm,Trưởng Nhóm
74,Database Administrator,Database Administrator,https://topdev.vn/viec-lam/database-administrator-truecommerce-dicentral-2029970,2 năm,"Middle,Senior"
75,Project Manager,Project Manager,https://topdev.vn/viec-lam/project-manager-truecommerce-dicentral-2029968,2 năm,Middle
76,Senior Cloud Engineer/Cloud Architect (Azure),"Cloud,Azure",https://topdev.vn/viec-lam/senior-cloud-engineer-cloud-architect-azure-wata-corp-2030035,3 năm,Senior
77,Lead NodeJS Developer (Familiar with Angular),"OOP,NodeJS,Angular,TypeScript",https://topdev.vn/viec-lam/lead-nodejs-developer-familiar-with-angular-wata-corp-2030031,5 năm,"Trưởng Nhóm,Senior"
78,Senior Front-end Developer (Angular/JavaScript),"JavaScript,Front-End,Web Application,Angular",https://topdev.vn/viec-lam/senior-front-end-developer-angular-javascript-wata-corp-2030029,6 năm,Senior
79,IT Project Manager,"Project Manager,English,Project Leader,Project Coordinator",https://topdev.vn/viec-lam/it-project-manager-younet-group-2030026,1 năm,"Trưởng Nhóm,Senior"
80,Database Developer,"Oracle,SQL Server,Database",https://topdev.vn/viec-lam/database-developer-vinatti-2030017,1 năm,"Junior,Middle"
81,Team Leader BrSE,"C#,Japanese - N2,BrSE",https://topdev.vn/viec-lam/team-leader-brse-hitachi-systems-vietnam-2030013,3 năm,Trưởng Nhóm
82,Fresher iOS Developers,"Swift,iOS,Objective-C,xCode",https://topdev.vn/viec-lam/fresher-ios-developers-vnpay-2030096,Không yêu cầu,"Fresher,Junior"
83,PRODUCT MANAGER,Product Manager,https://topdev.vn/viec-lam/product-manager-mat-bao-2030041,2 năm,Trưởng phòng
84,Head of IT (Danang Office),"Manager,Full-Stack,IT Manager",https://topdev.vn/viec-lam/head-of-it-danang-office-lotte-data-communication-2030037,7 năm,Trưởng phòng
85,"Mobile Developer (Kotlin, Swift)","Swift,Android,iOS,Mobile,Kotlin",https://topdev.vn/viec-lam/mobile-developer-kotlin-swift-go2joy-viet-nam-2030209,3 năm,Senior
86,Senior Fullstack Javascript developer,"CSS,JavaScript,NodeJS,HTML,MongoDB,Full-Stack,ReactJS",https://topdev.vn/viec-lam/senior-fullstack-javascript-developer-cong-ty-co-phan-showniq-2030102,3 năm,Senior
87,"Software Engineer (C++, QT, QML)","C++,Software Developer,C/C++,QT Framework",https://topdev.vn/viec-lam/software-engineer-c-qt-qml-cong-ty-co-phan-showniq-2030100,4 năm,Senior
88,Senior .NET Software Engineer (Principal),"ASP.NET,C#,MVC,SQL,.NET,.NET Core",https://topdev.vn/viec-lam/senior-net-software-engineer-principal-mantu-2030110,4 năm,Senior
89,Java Developer,"OOP,Oracle,Java Core,Java Spring Boot",https://topdev.vn/viec-lam/java-developer-vetc-viet-nam-joint-stock-company-2029663,2 năm,"Junior,Middle,Senior"
90,[English] S/W Development (Embedded/Linux/C++),"Linux,C++,Embedded System,AWS",https://topdev.vn/viec-lam/english-s-w-development-embedded-linux-c-hironic-kora-2029622,Không yêu cầu,"Fresher,Senior"
91,"Fresher/Junior Game Developer (C/C++, Lua)","Lua,C/C++,Game Developer",https://topdev.vn/viec-lam/fresher-junior-game-developer-c-c-lua-cong-ty-co-phan-giai-tri-568e-2029809,Không yêu cầu,"Fresher,Junior"
92,DevOps Developer,"DevOps,Docker,CI/CD",https://topdev.vn/viec-lam/devops-developer-apollo-solutions-2029723,2 năm,"Junior,Middle,Senior"
93,"Web Developer (Java, Spring, JavaScript)","Java,JavaScript,Spring,Spring Boot",https://topdev.vn/viec-lam/web-developer-java-spring-javascript-datastreams-asia-2029678,3 năm,"Middle,Senior"
94,"Senior iOS Developer (Swift, English)","Swift,iOS,REST API,Mobile,English Skills",https://topdev.vn/viec-lam/senior-ios-developer-swift-english-adnovum-2029672,3 năm,Senior
95,Front-end Developer (ReactJS/VueJS/Angular),"Front-End,ReactJS,VueJS,Angular",https://topdev.vn/viec-lam/front-end-developer-reactjs-vuejs-angular-vetc-viet-nam-joint-stock-company-2029669,2 năm,"Middle,Senior"
96,Java Developer,"Java,Java Spring",https://topdev.vn/viec-lam/java-developer-weeds-vina-2029861,2 năm,Middle
97,HOT Data Engineer Team Lead (Database),"Data Engineer,Power BI Specialist",https://topdev.vn/viec-lam/data-engineer-team-lead-database-viet-thai-international-2029833,5 năm,Trưởng Nhóm
98,"Game Developer (Unity, English, Hyper-casual game)","Unity,C#,Game Programmer",https://topdev.vn/viec-lam/game-developer-unity-english-hyper-casual-game-brickmate-group-2029832,2 năm,"Junior,Middle"
99,Trưởng Phòng Quản Lý Chất Lượng Phần Mềm (IT QC Manager),"Manager,QC,Tester",https://topdev.vn/viec-lam/truong-phong-quan-ly-chat-luong-phan-mem-it-qc-manager-cong-ty-co-phan-tap-doan-meey-land-2029811,3 năm,Trưởng phòng
